id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1894,Sarita Vihar,D,4,208,Savita Vihar,"Rs. 1,27,680 Per Square Meter",127680,Central
1895,"Sarojani Naidu Park,Shastri Nagar",F,1,230,Geeta Colony,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1896,"Sarojani Park,Shastri Nagar",F,1,230,Geeta Colony,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1897,"Saroop Nagar,Libaspur",G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
1898,Saroop Vihar (Burari),G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
1899,Sarup Nagar (University),E,6,12,GTB Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
1900,"Sarup Vihar, Kadipur",G,6,5,Bhalswa Jahangir Puri,Rs. 46200 Per Square Meter,46200,Civil Line
1901,Sarvapriya Vihar,B,3,161,Malviya Nagar,"Rs. 2,45,520 Per Square Meter",245520,South
1902,Sarvodaya Enclave,B,3,161,Malviya Nagar,"Rs. 2,45,520 Per Square Meter",245520,South
1903,Satbari Colony,F,3,176,Bhati,"Rs. 56,640 Per Square Meter",56640,South
1904,Satberi Village,H,3,176,Bhati,"Rs. 23,280 Per Square Meter",23280,South
1905,Sat Nagar,E,12,149,Rajinder Nagar,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1906,Satnam Park,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1907,Satyam Vihar,E,8,50,Rohini Central,"Rs. 70,070 Per Square Meter",70070,Rohini
1908,"Satyanand nagar, Mehrauli",G,3,176,Bhati,Rs. 46200 Per Square Meter,46200,South
1909,Satya Niketan,D,3,168,Nanak Pura,"Rs. 1,27,680 Per Square Meter",127680,South
1910,Satyawati nagar,F,8,66,Sawan Park,"Rs. 56,640 Per Square Meter",56640,Rohini
1911,Savai Phoos Colony,E,6,78,Majnu Ka Tilla,"Rs. 70,070 Per Square Meter",70070,Civil Line
1912,Savita Vihar,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1913,Savitri Nagar,D,3,191,Shahpur Jat,"Rs. 1,27,680 Per Square Meter",127680,South
