id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1138,"Madhu Vihar, Uttam Nagar",F,9,147,Mahavir Enclave,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1139,Madipur,G,10,103,Madipur A,Rs. 46200 Per Square Meter,46200,West
1140,Madipur Colony,F,10,104,Madipur B,"Rs. 56,640 Per Square Meter",56640,West
1141,Maha Lakshmi Enclave,F,2,266,Karawal Nagar East,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1142,Maharam Mohalla,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1143,Maharana Pratap Enclave,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1144,Maharani Bagh,A,4,193,Sriniwaspuri,"Rs. 7,75,000 Per Square Meter",775000,Central
1145,Maharani Enclave (Uttam Nagar),G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1146,"Maharishi Encl, Sagarpur",G,9,131,Sagarpur,Rs. 46200 Per Square Meter,46200,Nazafgarh
1147,Mahavir Block,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1148,Mahavir Colony (Narela),G,7,2,Bankner,Rs. 46200 Per Square Meter,46200,Narela
1149,Mahavir Enclave Part I,G,9,147,Mahavir Enclave,Rs. 46200 Per Square Meter,46200,Nazafgarh
1150,Mahavir Enclave Part II,F,9,147,Mahavir Enclave,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1151,Mahavir Encl (Uttam Nagar),F,10,128,Bindapur,"Rs. 56,640 Per Square Meter",56640,West
1152,Mahavir Nagar,E,10,113,Mahabir Nagar,"Rs. 70,070 Per Square Meter",70070,West
1153,Mahavir Vihar,F,9,120,Manohar Park,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1154,Mahavir Vihar Kanjhawala,G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
1155,Mahavir Vihar Palam,G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1156,Mahendra Enclave,D,6,71,Sangam Park,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1157,Mahendra Park,G,6,15,Sarai Pipal Thala,Rs. 46200 Per Square Meter,46200,Civil Line
1158,"Mahesh Vihar, Uttam Nagar",G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
1159,"Mahila Colony, Shahdara",F,1,229,Krishna Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1160,Mahindra Park,F,8,63,Kohat Enclave,"Rs. 56,640 Per Square Meter",56640,Rohini
1161,Mahindra Park(Janakpuri),G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
1162,"Mahindra Park , Uttam Nagar",F,9,119,Milap Nagar,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1163,Mahipalpur,F,9,144,Mahipalpur,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1164,Mahipalpur Extn,F,9,144,Mahipalpur,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1165,Maidan Garhi,H,3,173,Said-ul-Ajaib,"Rs. 23,280 Per Square Meter",23280,South
1166,Maidan Garhi Extn.,F,3,173,Said-ul-Ajaib,"Rs. 56,640 Per Square Meter",56640,South
1167,Maj Bhupender Singh Nagar,E,10,116,Vikaspuri East,"Rs. 70,070 Per Square Meter",70070,West
1168,Majlis Park,E,6,14,Adarsh Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
1169,Majnu Ka Tila,F,6,78,Majnu Ka Tilla,"Rs. 56,640 Per Square Meter",56640,Civil Line
1170,Major Bhola Ram Enclave,F,9,141,Bijwasan,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1171,Makki Sarai,F,2,247,Ram Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1172,Maksudabad Extn.,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1173,Malikpur Chhawani,G,6,12,GTB Nagar,Rs. 46200 Per Square Meter,46200,Civil Line
1174,Malikpur Kohi Alilies Rangpuri,H,9,144,Mahipalpur,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1175,Malik Pur zer Najafgarh,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1176,Malka Ganj,D,6,9,Malkaganj,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1177,"Mall Apartment, Mall Road",D,6,15,Sarai Pipal Thala,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1178,Mall Road Kishan Garh,E,9,172,Kishangarh,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
1179,Malviya Nagar,C,3,162,Village Huaz Rani,"Rs. 1,59,840 Per Square Meter",159840,South
1180,Mamoor Pur,H,7,1,Narela,"Rs. 23,280 Per Square Meter",23280,Narela
1181,Manak Pura,F,12,91,Karol Bagh,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
1182,Manak Vihar,D,1,225,Anand Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1183,Manak Vihar Extn.,F,10,112,Subhash Nagar,"Rs. 56,640 Per Square Meter",56640,West
1184,Manak Vihar Extn. Tihar,E,10,112,Subhash Nagar,"Rs. 70,070 Per Square Meter",70070,West
1185,Manak Vihar(Subhash Nagar),F,10,112,Subhash Nagar,"Rs. 56,640 Per Square Meter",56640,West
1186,Manas Kunj,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
1187,Mandavli Fazalpur,G,1,218,Mandawali,Rs. 46200 Per Square Meter,46200,Shahadra South
1188,Mandawali Unchepar,F,1,218,Mandawali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1189,Mandli,H,9,144,Mahipalpur,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1190,Mandli,H,3,175,Aya Nagar,"Rs. 23,280 Per Square Meter",23280,South
1191,"Mandli Pahari, Arjungarh",G,3,175,Aya Nagar,Rs. 46200 Per Square Meter,46200,South
1192,Mandoli Chowk Colony,G,2,263,Saboli,Rs. 46200 Per Square Meter,46200,Shahadra North
1193,Mandoli Kachi,G,2,264,Harsh Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
1194,Mangalam Place,C,8,45,Rohini South,"Rs. 1,59,840 Per Square Meter",159840,Rohini
1195,Mangalam Vihar,G,2,265,Shiv Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
1196,Mange Ram Park Budh Vihar,G,8,23,Budh Vihar,Rs. 46200 Per Square Meter,46200,Rohini
1197,Mange Ram Park Pooth Kalan,G,8,23,Budh Vihar,Rs. 46200 Per Square Meter,46200,Rohini
1198,Manglapuri,G,3,174,Chhatarpur,Rs. 46200 Per Square Meter,46200,South
1199,"Mangla Puri, Palam",G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1200,Mangolpuri,G,8,48,Mangolpuri West,Rs. 46200 Per Square Meter,46200,Rohini
1201,Mangolpuri Indl Area,E,8,48,Mangolpuri West,"Rs. 70,070 Per Square Meter",70070,Rohini
1202,Mangolpur Kalan,G,8,45,Rohini South,Rs. 46200 Per Square Meter,46200,Rohini
1203,Mangolpur Khurd,G,8,47,Mangolpuri,Rs. 46200 Per Square Meter,46200,Rohini
1204,Manhari Junk (Meetha pur),G,4,203,Badarpur,Rs. 46200 Per Square Meter,46200,Central
1205,Maniram Park,G,8,23,Budh Vihar,Rs. 46200 Per Square Meter,46200,Rohini
1206,Manohar Nagar,D,10,116,Vikaspuri East,"Rs. 1,27,680 Per Square Meter",127680,West
1207,Manohar Park,E,10,99,Moti Nagar,"Rs. 70,070 Per Square Meter",70070,West
1208,Mansa Ram Park,G,10,127,Uttam Nagar,Rs. 46200 Per Square Meter,46200,West
1209,"Mansa Ram Park , Najaf Garh",G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
1210,"Mansa Ram Park , Uttam Nagar",G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
1211,Mansarowar Garden,D,10,98,Mansarovar Garden,"Rs. 1,27,680 Per Square Meter",127680,West
1212,Mansarowar Park,F,2,247,Ram Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1213,Man Singh Nagar,G,2,268,Mustafabad,Rs. 46200 Per Square Meter,46200,Shahadra North
1214,Mantola Mohalla,E,11,89,Paharganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1215,Masihgarh,E,4,206,Okhla,"Rs. 70,070 Per Square Meter",70070,Central
1216,Masjid Moth,E,3,164,Hauz Khas,"Rs. 70,070 Per Square Meter",70070,South
1217,Masjid Moth DDA Flats,C,3,191,Shahpur Jat,"Rs. 1,59,840 Per Square Meter",159840,South
1218,Master Block,F,1,223,Shakarpur,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1219,Master Mohalla,G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
1220,"Master Mohalla, Tughlakabad",G,4,197,Tughlakabad,Rs. 46200 Per Square Meter,46200,Central
1221,Masudabad,G,9,137,Roshanpura,Rs. 46200 Per Square Meter,46200,Nazafgarh
1222,Masudpur Village,F,9,172,Kishangarh,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1223,Mata Rameshwari Nehru Nagar,E,12,92,Dev Nagar,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1224,Mata Sundari Rly Clny,D,5,81,Minto Road,"Rs. 1,27,680 Per Square Meter",127680,City
1225,"Matiala Extn, Uttam Nagar",F,9,136,Matiala,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
1226,"Matiala Extn, Uttam Nagar",G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1227,Matia Mahal,E,5,83,Bazar Sita Ram,"Rs. 70,070 Per Square Meter",70070,City
1228,Matiyala,G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1229,Maujpur Colony,F,2,252,Mauj Pur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1230,Maujpur Village,G,2,252,Mauj Pur,Rs. 46200 Per Square Meter,46200,Shahadra North
1231,Maurice Nagar,B,6,12,GTB Nagar,"Rs. 2,45,520 Per Square Meter",245520,Civil Line
1232,Maurya Enclave,D,8,54,Pitampura North,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1233,Mausam Vihar,D,1,231,Ghondli,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1234,Maya Enclave,D,10,110,Janakpuri II,"Rs. 1,27,680 Per Square Meter",127680,West
1235,Mayapuri Industrial Area,E,10,110,Janakpuri II,"Rs. 70,070 Per Square Meter",70070,West
1236,Mayfair Garden,A,3,164,Hauz Khas,"Rs. 7,75,000 Per Square Meter",775000,South
1237,Mayur Vihar,D,1,219,Mayur Vihar Phase II,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
1238,Meena Bazar,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
1239,Meera Bagh,D,10,41,Guru Harkishan Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1240,"Meera Enclave, Ranhola",G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
1241,"Meer Dard Basti, Baron Rd",G,4,206,Okhla,Rs. 46200 Per Square Meter,46200,Central
1242,Meer Vihar Mubarakpur,G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
1243,"Meet Nagar, Shahdara",F,2,263,Saboli,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1244,"Meet Nagar, Wazirabad Rd.",G,2,263,Saboli,Rs. 46200 Per Square Meter,46200,Shahadra North
1245,Mehram Nagar,E,9,144,Mahipalpur,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
1246,Mehrauli,F,3,169,Lado Sarai,"Rs. 56,640 Per Square Meter",56640,South
1247,Meitri Enclave (Narela),G,7,2,Bankner,Rs. 46200 Per Square Meter,46200,Narela
1248,"Milan Enclave , Dauletpur",G,9,133,Chhawala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1249,Milan Vihar,G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
1250,Milap Nagar,G,9,119,Milap Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
1251,Minakshi Garden,E,10,114,Tilak Nagar,"Rs. 70,070 Per Square Meter",70070,West
1252,Mini Subhas Camp,G,3,180,Dakshin Puri Extn.,Rs. 46200 Per Square Meter,46200,South
1253,"Minto Road Flats(CPWD,PWD,MCD)",D,5,81,Minto Road,"Rs. 1,27,680 Per Square Meter",127680,City
1254,Mir Pur Turk,H,2,268,Mustafabad,"Rs. 23,280 Per Square Meter",23280,Shahadra North
1255,Mirza Galib Bara Khamba,F,5,154,Nizamuddin,"Rs. 56,640 Per Square Meter",56640,City
1256,Mirzapur,G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1257,Mirzapur Village,G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1258,Mitha Pur,H,4,202,Meethapur,"Rs. 23,280 Per Square Meter",23280,Central
1259,Mitha Pur Extension,G,4,202,Meethapur,Rs. 46200 Per Square Meter,46200,Central
1260,Mithla Vihar Nangloi,G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
1261,Mitra Mandal Mohalla (Narela),G,7,2,Bankner,Rs. 46200 Per Square Meter,46200,Narela
1262,Mitraon,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1263,Mitraon Extn. Najafgarh,G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
1264,Miyanwali Nagar,D,10,42,Peragharhi,"Rs. 1,27,680 Per Square Meter",127680,West
1265,Mochi Bagh Arakpur,E,3,168,Nanak Pura,"Rs. 70,070 Per Square Meter",70070,South
1266,Mochi Gaon,E,3,168,Nanak Pura,"Rs. 70,070 Per Square Meter",70070,South
1267,Model Basti,E,11,90,Model Basti,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1268,Model Hsg Society,D,8,59,Rani Bagh,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1269,Model Town,D,6,72,Model Town,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1270,Mohalla Ram Nagar,F,1,236,Raghubar Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1271,Mohalla Sarai,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1272,Mohalla Subhash,G,2,251,New Usmanpur,Rs. 46200 Per Square Meter,46200,Shahadra North
1273,Mohan Baba Nagar Tajpur Extn,G,4,203,Badarpur,Rs. 46200 Per Square Meter,46200,Central
1274,"Mohan Block, Pankha Road",G,9,132,Sagarpur West,Rs. 46200 Per Square Meter,46200,Nazafgarh
1275,Mohan Coop Indl Estate,D,4,199,Tekhand,"Rs. 1,27,680 Per Square Meter",127680,Central
1276,Mohan Garden (Uttam Nagar),G,10,126,Nawada,Rs. 46200 Per Square Meter,46200,West
1277,"Mohan Nagar,Panka Road",G,9,129,Dabri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1278,Mohan Park,G,6,13,Dhirpur,Rs. 46200 Per Square Meter,46200,Civil Line
1279,Mohan Park,F,1,222,Laxmi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1280,"Mohan Park, Navin Sahadera",G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
1281,Mohd.Pur Majra,H,7,29,Karala,"Rs. 23,280 Per Square Meter",23280,Narela
1282,Mohd.Pur Ramjan Pur,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
1283,"Mohinder Singh Park , Najafgarh",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1284,"Mohindra Park, Pankha Road",G,9,129,Dabri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1285,Mohit Nagar,G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
1286,Mojiwala Bagh,E,6,71,Sangam Park,"Rs. 70,070 Per Square Meter",70070,Civil Line
1287,Molarband Extn,G,4,204,Molarband,Rs. 46200 Per Square Meter,46200,Central
1288,"Molar Band , Nasirpur",G,9,146,Sadh Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
1289,Molarband Village,H,4,204,Molarband,"Rs. 23,280 Per Square Meter",23280,Central
1290,Mool Chand Colony,E,6,14,Adarsh Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
1291,Mori Gate,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
1292,Motia Bagh,E,6,78,Majnu Ka Tilla,"Rs. 70,070 Per Square Meter",70070,Civil Line
1293,Motia Khan,E,11,90,Model Basti,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1294,Motibagh Indl. Area,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
1295,Moti Bagh Indl Area (Karol Bagh),F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
1296,Moti Nagar,E,10,99,Moti Nagar,"Rs. 70,070 Per Square Meter",70070,West
1297,Moti Park,G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
1298,Mubarakpur Dabas,H,7,34,Nithari,"Rs. 23,280 Per Square Meter",23280,Narela
1299,Muhammadpur,E,3,167,RK Puram,"Rs. 70,070 Per Square Meter",70070,South
1300,Mujeeb Bagh,F,4,206,Okhla,"Rs. 56,640 Per Square Meter",56640,Central
1301,Mukand Pur,H,6,6,Mukund Pur,"Rs. 23,280 Per Square Meter",23280,Civil Line
1302,Mukand Pur (Burari),G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
1303,Mukand Vihar,G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
1304,Mukharjee Nagar,D,6,11,Mukherjee Nagar,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
1305,Mukherjee Park Extn,F,10,114,Tilak Nagar,"Rs. 56,640 Per Square Meter",56640,West
1306,Mukhimpura,G,6,9,Malkaganj,Rs. 46200 Per Square Meter,46200,Civil Line
1307,Mukhmel Pur,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
1308,Mukhram Garden,F,10,107,Vishnu Garden,"Rs. 56,640 Per Square Meter",56640,West
1309,Mukhram Park Extn,G,10,107,Vishnu Garden,Rs. 46200 Per Square Meter,46200,West
1310,Mukti Ashram Colony Ibrahimpur,G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
1311,Multani Dhanda,E,11,89,Paharganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1312,Multani Mohalla,F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1313,Mundhala Kalan,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1314,Mundhala Khurd,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1315,Mundka Extn.,G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
1316,Mundka Village,H,9,30,Mundaka,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1317,Munga Nagar,G,2,269,Khajoori Khas,Rs. 46200 Per Square Meter,46200,Shahadra North
1318,Mungesh Pur,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
1319,Munirka DDA Flats,C,3,165,Vasant Vihar,"Rs. 1,59,840 Per Square Meter",159840,South
1320,Munirka Enclave,C,3,165,Vasant Vihar,"Rs. 1,59,840 Per Square Meter",159840,South
1321,Munirka Vihar,C,3,165,Vasant Vihar,"Rs. 1,59,840 Per Square Meter",159840,South
1322,Munirka Village,E,3,166,Munirka,"Rs. 70,070 Per Square Meter",70070,South
1323,Munshiram Dairy Colony,G,6,11,Mukherjee Nagar,Rs. 46200 Per Square Meter,46200,Civil Line
1324,Muradabad Pahari,H,3,165,Vasant Vihar,"Rs. 23,280 Per Square Meter",23280,South
1325,Mustafabad,F,2,268,Mustafabad,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1326,Mustafabad Village,H,2,268,Mustafabad,"Rs. 23,280 Per Square Meter",23280,Shahadra North
1327,Nabi Karim,E,11,88,Qasabpura,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1328,Nagla Machi,F,5,154,Nizamuddin,"Rs. 56,640 Per Square Meter",56640,City
1329,Nagli Vihar,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1330,Naharpur Village,G,8,51,Rohini East,Rs. 46200 Per Square Meter,46200,Rohini
1331,Nai Basti,E,9,143,Kapashera,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
1332,Nai Basti,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
1333,Nai Basti Anand Parbat,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
1334,Nai Basti Bankner,G,7,2,Bankner,Rs. 46200 Per Square Meter,46200,Narela
1335,"Nai Basti , Mehrauli",G,3,169,Lado Sarai,Rs. 46200 Per Square Meter,46200,South
1336,Nai wala,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
1337,Nai Walan,E,12,91,Karol Bagh,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1338,Najafgarh,G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
1339,Najafgarh Extn.,G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
1340,"Najafgarh Park, Nangloi",G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
1341,Najafgarh Road Indl Area,E,10,100,Karam Pura,"Rs. 70,070 Per Square Meter",70070,West
1342,"Nala Par Basti, Sagarpur",G,9,131,Sagarpur,Rs. 46200 Per Square Meter,46200,Nazafgarh
1343,Namdhari Colony,D,10,97,Kirti Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
1344,Namdhari Colony,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
1345,Nanak Enclave,F,6,12,GTB Nagar,"Rs. 56,640 Per Square Meter",56640,Civil Line
1346,Nanak Heri,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1347,Nanakpura,D,3,168,Nanak Pura,"Rs. 1,27,680 Per Square Meter",127680,South
1348,Nanak Pura (Mayapuri),D,10,110,Janakpuri II,"Rs. 1,27,680 Per Square Meter",127680,West
1349,Nanakpura Shakarpur,F,1,223,Shakarpur,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1350,Nanda Block,G,10,108,Khyala,Rs. 46200 Per Square Meter,46200,West
1351,Nanda Enclave Najafgarh,G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
1352,Nand Nagri,F,2,243,Nand Nagri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1353,Nand Ram park (Uttam Nagar),G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
1354,"Nand Ram Park, Uttam Nagar",G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
1355,Nand Vihar Kakrola Road,G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
1356,Nangal Dairy,G,9,143,Kapashera,Rs. 46200 Per Square Meter,46200,Nazafgarh
1357,Nangal Dewat,H,9,143,Kapashera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1358,Nangal Raya,G,10,110,Janakpuri II,Rs. 46200 Per Square Meter,46200,West
1359,Nangal Raya Extn,G,10,110,Janakpuri II,Rs. 46200 Per Square Meter,46200,West
1360,Nangal Raya Shopping Centre,D,10,110,Janakpuri II,"Rs. 1,27,680 Per Square Meter",127680,West
1361,Nangal Thakran,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
1362,Nangla,G,1,227,IP Extension,Rs. 46200 Per Square Meter,46200,Shahadra South
1363,Nanglee Jalib Village,G,10,109,Janakpuri North,Rs. 46200 Per Square Meter,46200,West
1364,Nangli,F,5,153,Daryaganj,"Rs. 56,640 Per Square Meter",56640,City
1365,Nangli Poona,H,6,5,Bhalswa Jahangir Puri,"Rs. 23,280 Per Square Meter",23280,Civil Line
1366,Nangli Poona Extn.,G,6,5,Bhalswa Jahangir Puri,Rs. 46200 Per Square Meter,46200,Civil Line
1367,Nangli Razapur,G,8,50,Rohini Central,Rs. 46200 Per Square Meter,46200,Rohini
1368,Nangli Razapur,H,5,153,Daryaganj,"Rs. 23,280 Per Square Meter",23280,City
1369,Nangli Sakrawati,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1370,"Nangli Vihar, Najafgarh Road",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
1371,Nangloi Enclave (B Block),G,8,35,Kirari Suleman Nagar,Rs. 46200 Per Square Meter,46200,Rohini
1372,Nangloi Extn,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
1373,Nangloi Jat,H,10,43,Nangloi East,"Rs. 23,280 Per Square Meter",23280,West
1374,Nangloi JJ Colony No 2,G,9,31,Nangloi Jat West,Rs. 46200 Per Square Meter,46200,Nazafgarh
1375,Nangloi Sayad,G,10,41,Guru Harkishan Nagar,Rs. 46200 Per Square Meter,46200,West
1376,Nanhey Park (Uttam Nagar),F,10,127,Uttam Nagar,"Rs. 56,640 Per Square Meter",56640,West
1377,Nanhey Ram Park,G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
1378,Naraina Vihar,D,12,152,Naraina,"Rs. 1,27,680 Per Square Meter",127680,Karol Bagh
1379,Naraina Vihar (Mundka),G,9,36,Prem Nagar,Rs. 46200 Per Square Meter,46200,Nazafgarh
1380,Naraina Village,G,12,152,Naraina,Rs. 46200 Per Square Meter,46200,Karol Bagh
1381,Narang Colony,D,10,117,Janak Puri West,"Rs. 1,27,680 Per Square Meter",127680,West
1382,Narang Colony (Tri Nagar),F,8,61,Tri Nagar,"Rs. 56,640 Per Square Meter",56640,Rohini
1383,Narayan Nagar,F,1,221,Kishan Ganj,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1384,Narela Mandi,G,7,2,Bankner,Rs. 46200 Per Square Meter,46200,Narela
1385,Narela Mandi Ext,G,7,2,Bankner,Rs. 46200 Per Square Meter,46200,Narela
1386,"Naresh Enclave, Barwala",G,7,27,Begumpur,Rs. 46200 Per Square Meter,46200,Narela
1387,Naresh Park,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
1388,"Naresh Park, Nangloi",G,9,138,Najafgarh,Rs. 46200 Per Square Meter,46200,Nazafgarh
1389,"Narsingh Garden, Khayala",G,10,108,Khyala,Rs. 46200 Per Square Meter,46200,West
1390,Narsingh Park,G,10,108,Khyala,Rs. 46200 Per Square Meter,46200,West
1391,Nathu Colony,F,2,245,Durga Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1392,Nathu Colony,G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
1393,Nathu Pura,G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
1394,Nathu Vaid Colony,G,6,7,Burari,Rs. 46200 Per Square Meter,46200,Civil Line
1395,National Park,C,4,160,Amar Colony,"Rs. 1,59,840 Per Square Meter",159840,Central
1396,Nauroji Nagar,B,3,163,Safdarjang Enclave,"Rs. 2,45,520 Per Square Meter",245520,South
1397,Naveen Kunj Society,G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
1398,"Naveen Palace , Najafgarh",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
